,Show
0,13
1,9 To 5
2,A Chorus Line '06
3,A Christmas Story
4,A Gentleman'S Guide To Love And Murder
5,A Little Night Music
6,A Night With Janis Joplin
7,A Tale Of Two Cities
8,After Midnight
9,Aladdin
10,Allegiance
11,Amazing Grace
12,American Idiot
13,American Psycho
14,An American In Paris
15,Annie '12
16,Anything Goes '11
17,Avenue Q
18,Baby It'S You!
19,Beautiful: The Carole King Musical
20,Big Fish
21,Billy Elliot: The Musical
22,Bloody Bloody Andrew Jackson
23,Bonnie And Clyde
24,Bright Star
25,Bring It On The Musical
26,Bullets Over Broadway
27,Burn The Floor
28,Bye Bye Birdie
29,Cabaret (musical)
30,Catch Me If You Can
31,Cats 2016
32,Chaplin
33,Chicago
34,Cinderella
35,Come Fly Away
36,Cry Baby
37,Curtains
38,Dames At Sea
39,Disaster!
40,Doctor Zhivago
41,Dr. Seuss' How The Grinch Stole Christmas! 07
42,Elf
43,Elf '12
44,Everyday Rapture
45,Evita
46,Fiddler On The Roof 2015
47,Finding Neverland
48,First Date
49,Follies '11
50,Fun Home
51,Ghost
52,Gigi
53,Glory Days
54,Godspell
55,Gypsy '08
56,Hair
57,Hairspray
58,Hamilton (musical)
59,Hands On A Hardbody
60,Hedwig And The Angry Inch
61,Holler If Ya Hear Me
62,Honeymoon In Vegas
63,How To Succeed In Business Without Really Trying '11
64,If/Then
65,In The Heights
66,It Shoulda Been You
67,Jekyll & Hyde '13
68,Jersey Boys
69,Jesus Christ Superstar '12
70,Kinky Boots
71,La Cage Aux Folles '10
72,Leap Of Faith
73,Legally Blonde
74,Lysistrata Jones
75,Mamma Mia!
76,Mary Poppins
77,Matilda
78,Memphis
79,Million Dollar Quartet
80,Monty Python'S Spamalot
81,Motown The Musical 2016
82,Newsies
83,Next To Normal
84,Nice Work If You Can Get It
85,On A Clear Day You Can See Forever
86,On the Town (musical)
87,On The Twentieth Century
88,On Your Feet!
89,Once
90,Pal Joey
91,Paramour
92,Passing Strange
93,Pippin
94,Porgy And Bess '11
95,Priscilla Queen Of The Desert
96,"Promises, Promises"
97,Ragtime '09
98,Rain: A Tribute To The Beatles On Broadway
99,Rent
100,Rock Of Ages
101,Rocky
102,Scandalous
103,School Of Rock
104,She Loves Me 2016
105,Shrek The Musical
106,Shuffle Along
107,Side Show 2014
108,Sister Act
109,Something Rotten!
110,Soul Doctor
111,South Pacific
112,Spider-Man Turn Off The Dark
113,Spring Awakening
114,Sunday In The Park With George '08
115,The 25Th Annual Putnam County Spelling Bee
116,The Addams Family
117,The Book Of Mormon
118,The Bridges Of Madison County
119,The Color Purple 2015
120,The King And I 2015
121,The Last Ship
122,The Lion King
123,The Little Mermaid
124,The Mystery Of Edwin Drood '12
125,The People in the Picture
126,The Phantom Of The Opera
127,The Scottsboro Boys
128,The Story Of My Life
129,The Visit 2015
130,Tuck Everlasting
131,Waitress
132,West Side Story
133,Wicked
134,Women On The Verge Of A Nervous Breakdown
135,Wonderland
136,Xanadu
